seq_id	species	label
KJ887916	SACMV	SACMV
KJ887917	SACMV	SACMV
KJ887918	SACMV	SACMV
KJ887919	SACMV	SACMV
KJ887920	SACMV	SACMV
KJ887921	SACMV	SACMV
KJ887922	SACMV	SACMV
KJ887923	SACMV	SACMV
KJ887924	SACMV	SACMV
KJ887925	SACMV	SACMV
KJ887926	SACMV	SACMV
KJ887927	SACMV	SACMV
KJ887928	SACMV	SACMV
KJ887929	SACMV	SACMV
KJ887931	SACMV	SACMV
KJ887932	SACMV	SACMV
KJ887933	SACMV	SACMV
KJ887934	SACMV	SACMV
KJ887935	SACMV	SACMV
KJ887936	SACMV	SACMV
KJ887937	SACMV	SACMV
KJ887940	SACMV	SACMV
KJ887941	SACMV	SACMV
KJ887942	SACMV	SACMV
KJ887952	SACMV	SACMV
KJ887958	SACMV	SACMV
KJ887961	SACMV	SACMV
KJ887965	SACMV	SACMV
KJ887967	SACMV	SACMV
KJ887968	SACMV	SACMV
KJ887969	SACMV	SACMV
KJ887970	SACMV	SACMV
KJ887971	SACMV	SACMV
KJ887972	SACMV	SACMV
KJ887981	SACMV	SACMV
KJ887982	SACMV	SACMV
KJ887983	SACMV	SACMV
KJ887984	SACMV	SACMV
KJ887985	SACMV	SACMV
KJ887986	SACMV	SACMV
KJ887987	SACMV	SACMV
KJ887988	SACMV	SACMV
KJ887989	SACMV	SACMV
KJ887990	SACMV	SACMV
KJ887991	SACMV	SACMV
KJ887992	SACMV	SACMV
KJ887993	SACMV	SACMV
KJ887994	SACMV	SACMV
KJ887996	SACMV	SACMV
KJ887998	SACMV	SACMV
KJ887999	SACMV	SACMV
KJ888000	SACMV	SACMV
KJ888001	SACMV	SACMV
KJ888002	SACMV	SACMV
KJ888003	SACMV	SACMV
KJ888004	SACMV	SACMV
KJ888005	SACMV	SACMV
KJ888006	SACMV	SACMV
KJ888007	SACMV	SACMV
KJ888009	SACMV	SACMV
KJ888010	SACMV	SACMV
KJ888011	SACMV	SACMV
KJ888012	SACMV	SACMV
KJ888013	SACMV	SACMV
KJ888014	SACMV	SACMV
KJ888015	SACMV	SACMV
KJ888016	SACMV	SACMV
KJ888017	SACMV	SACMV
KJ888018	SACMV	SACMV
KJ888019	SACMV	SACMV
KJ888020	SACMV	SACMV
KJ888021	SACMV	SACMV
KJ888022	SACMV	SACMV
KJ888023	SACMV	SACMV
KJ888024	SACMV	SACMV
KJ888025	SACMV	SACMV
KJ888026	SACMV	SACMV
KJ888027	SACMV	SACMV
KJ888028	SACMV	SACMV
KJ888029	SACMV	SACMV
KJ888030	SACMV	SACMV
KJ888031	SACMV	SACMV
KJ888032	SACMV	SACMV
KJ888033	SACMV	SACMV
KJ888034	SACMV	SACMV
KJ888036	SACMV	SACMV
KJ888037	SACMV	SACMV
KJ888039	SACMV	SACMV
KJ888040	SACMV	SACMV
KJ888041	SACMV	SACMV
KJ888042	SACMV	SACMV
KJ888043	SACMV	SACMV
KJ888044	SACMV	SACMV
KJ888045	SACMV	SACMV
KJ888046	SACMV	SACMV
KJ888052	SACMV	SACMV
KJ888054	SACMV	SACMV
KJ888056	SACMV	SACMV
KJ888057	SACMV	SACMV
KJ888063	SACMV	SACMV
KJ888089	SACMV	SACMV
KJ888090	SACMV	SACMV
KJ888093	SACMV	SACMV
KJ888094	SACMV	SACMV
KJ888095	SACMV	SACMV
KJ888097	SACMV	SACMV
NC038877	EACMV	EACMV
AF112354	EACMV	EACMV
AF259896	EACMV	EACMV
EU685319	EACMV	EACMV
EU685321	EACMV	EACMV
EU685323	EACMV	EACMV
EU685326	EACMV	EACMV
JX473582	EACMV	EACMV
MG250164	EACMV	EACMV
NC004625	EACMV	EACMV
PV524652	EACMV	EACMV
AJ006458	EACMV	EACMV
AJ006459	EACMV	EACMV
AJ006460	EACMV	EACMV
AJ717536	EACMV	EACMV
AJ717537	EACMV	EACMV
AJ717538	EACMV	EACMV
AJ717539	EACMV	EACMV
AJ717540	EACMV	EACMV
AJ717541	EACMV	EACMV
AJ717542	EACMV	EACMV
AJ717543	EACMV	EACMV
AJ717544	EACMV	EACMV
AJ717545	EACMV	EACMV
AJ717546	EACMV	EACMV
AJ717547	EACMV	EACMV
AJ717548	EACMV	EACMV
AJ717549	EACMV	EACMV
AJ717550	EACMV	EACMV
AJ717551	EACMV	EACMV
AJ717552	EACMV	EACMV
AJ717553	EACMV	EACMV
AJ717554	EACMV	EACMV
AJ717555	EACMV	EACMV
AJ717556	EACMV	EACMV
AJ717557	EACMV	EACMV
AJ717558	EACMV	EACMV
AY211887	EACMV	EACMV
AY795983	EACMV	EACMV
AY795985	EACMV	EACMV
AY795986	EACMV	EACMV
AY795987	EACMV	EACMV
FN435278	EACMV	EACMV
FN435279	EACMV	EACMV
FN435280	EACMV	EACMV
FN435281	EACMV	EACMV
HG530112	EACMV	EACMV
HG530113	EACMV	EACMV
HG530114	EACMV	EACMV
HG530115	EACMV	EACMV
HG530116	EACMV	EACMV
JF909063	EACMV	EACMV
JF909064	EACMV	EACMV
JF909065	EACMV	EACMV
JF909066	EACMV	EACMV
JF909067	EACMV	EACMV
JF909068	EACMV	EACMV
JF909069	EACMV	EACMV
JF909070	EACMV	EACMV
JF909071	EACMV	EACMV
JF909072	EACMV	EACMV
JF909073	EACMV	EACMV
JF909074	EACMV	EACMV
JF909075	EACMV	EACMV
JF909076	EACMV	EACMV
JF909077	EACMV	EACMV
JF909082	EACMV	EACMV
JF909084	EACMV	EACMV
JF909090	EACMV	EACMV
JF909092	EACMV	EACMV
JF909096	EACMV	EACMV
JF909097	EACMV	EACMV
JF909099	EACMV	EACMV
JF909106	EACMV	EACMV
JF909110	EACMV	EACMV
JF909111	EACMV	EACMV
JF909115	EACMV	EACMV
JF909118	EACMV	EACMV
JF909119	EACMV	EACMV
JF909120	EACMV	EACMV
JF909121	EACMV	EACMV
JF909131	EACMV	EACMV
JF909133	EACMV	EACMV
JF909139	EACMV	EACMV
JF909149	EACMV	EACMV
JF909150	EACMV	EACMV
JF909151	EACMV	EACMV
JF909152	EACMV	EACMV
JF909153	EACMV	EACMV
JF909154	EACMV	EACMV
JF909155	EACMV	EACMV
JF909156	EACMV	EACMV
JF909157	EACMV	EACMV
JF909158	EACMV	EACMV
JF909159	EACMV	EACMV
JF909160	EACMV	EACMV
JF909161	EACMV	EACMV
JF909162	EACMV	EACMV
JF909163	EACMV	EACMV
JF909164	EACMV	EACMV
JF909165	EACMV	EACMV
JF909166	EACMV	EACMV
JF909167	EACMV	EACMV
JF909168	EACMV	EACMV
JF909169	EACMV	EACMV
JF909170	EACMV	EACMV
JF909171	EACMV	EACMV
JF909173	EACMV	EACMV
JF909174	EACMV	EACMV
JF909175	EACMV	EACMV
JF909176	EACMV	EACMV
JF909177	EACMV	EACMV
JF909178	EACMV	EACMV
JF909179	EACMV	EACMV
JF909180	EACMV	EACMV
JF909181	EACMV	EACMV
JF909182	EACMV	EACMV
JF909183	EACMV	EACMV
JF909184	EACMV	EACMV
JF909185	EACMV	EACMV
JF909188	EACMV	EACMV
